from_node,to_node,path,distance,direction,bi_dir_indicator,handicap_indicator
DisneylandRailRoad,Fantasystreet_Fantasystreet1,Fantasystreet1,0.1,E,1,1
Fantasystreet_Fantasystreet1,Museum,Fantasystreet,0.3,N,1,1
Museum,Toonstreet3_Toonstreet1,Toonstreet3,0.2,E,1,1
Toonstreet3_Toonstreet1,CarSpin,Toonstreet1,0.1,N,1,1
CarSpin,Toonstreet_Toonstreet4,Toonstreet,0.2,E,1,1
Toonstreet_Toonstreet4,MickeyHouse,Toonstreet4,0.1,N,1,1
Toonstreet3_Toonstreet1,Toonstreet3_AdventureLand8,Toonstreet3,0.2,E,1,1
Toonstreet3_AdventureLand8,DisneyGallery,AdventureLand8,0.1,S,1,1
Toonstreet3_AdventureLand8,Toonstreet3_AdventureLand4,Toonstreet3,0.3,E,1,1
Toonstreet3_AdventureLand4,Pirates,AdventureLand4,0.2,S,1,1
Toonstreet3_AdventureLand4,Toonstreet3_AdventureLand5,Toonstreet3,0.5,E,1,1
Toonstreet3_AdventureLand5,JungleCruise,AdventureLand5,0.2,S,1,1
Toonstreet3_AdventureLand5,Toonstreet3_AdventureLand6,Toonstreet3,0.3,E,1,1
Toonstreet3_AdventureLand6,Indiana,AdventureLand6,0.2,S,1,1
Toonstreet3_AdventureLand6,Toonstreet3_AdventureLand7,Toonstreet3,0.5,E,1,1
Toonstreet3_AdventureLand7,Swiz,AdventureLand7,0.2,S,1,1
Toonstreet3_AdventureLand5,AdventureLand6_Waltstreet,AdventureLand9,0.2,NE,1,0
Toonstreet3_AdventureLand6,AdventureLand6_Waltstreet,AdventureLand6,0.3,N,1,1
AdventureLand6_Waltstreet,Waltstreet_Waltstreet7,Waltstreet,0.5,E,1,1
Waltstreet_Waltstreet7,Tiki,Waltstreet7,0.2,N,1,1
Waltstreet_Waltstreet7,Waltstreet_Waltstreet1,Waltstreet,0.3,E,1,1
PennyArcade,Waltstreet_Waltstreet1,Waltstreet1,0.3,N,0,1
Waltstreet_Waltstreet7,Waltstreet_Waltstreet4,Waltstreet,0.5,E,1,1
Waltstreet_Waltstreet4,PennyArcade,Waltstreet4,1,S,0,1
Waltstreet_Waltstreet1,Waltstreet_Mainstreet,Waltstreet,0.2,E,1,1
Waltstreet_Waltstreet4,Waltstreet_Mainstreet,Waltstreet,0.1,E,1,1
Waltstreet_Mainstreet,Mainstreet_Mainstreet2,Mainstreet,0.6,S,1,1
Mainstreet_Mainstreet2,HorseStreetCar,Mainstreet,0.4,S,1,1
Mainstreet_Mainstreet2,Mainstreet1_Mainstreet2,Mainstreet2,0.5,W,1,1
Mainstreet_Mainstreet2,Mainstreet2_Mainstreet3,Mainstreet2,0.3,E,1,1
Mainstreet1_Mainstreet2,FireEngine,Mainstreet1,0.5,S,1,1
Mainstreet2_Mainstreet3,WaltDisneyStory,Mainstreet3,0.3,S,1,1
Waltstreet_Mainstreet,Waltstreet_Waltstreet2,Waltstreet,0.2,E,1,1
Waltstreet_Waltstreet2,Waltstreet2_Daisystreet,Waltstreet2,0.4,S,1,1
Waltstreet2_Daisystreet,StarTours,Waltstreet2,0.3,S,1,1
Waltstreet_Waltstreet2,Waltstreet3_Waltstreet4,Waltstreet3,0.6,NE,1,1
Waltstreet3_Waltstreet4,CircleVision,Waltstreet4,0.2,W,1,1
Waltstreet3_Waltstreet4,Waltstreet3_TomorrowLand2,Waltstreet3,0.3,NE,1,1
Waltstreet3_TomorrowLand2,TomorrowLand2_TomorrowLand3,TomorrowLand2,0.3,E,1,1
TomorrowLand2_TomorrowLand3,DisneyLandMonoRail,TomorrowLand3,0.2,N,1,1
TomorrowLand2_TomorrowLand3,TomorrowLand2_TomorrowLand4,TomorrowLand2,0.4,E,1,1
TomorrowLand2_TomorrowLand4,TomorrowLand4_TomorrowLand5,TomorrowLand4,0.2,S,1,1
TomorrowLand4_TomorrowLand5,Submarine,TomorrowLand5,0.3,E,1,1
TomorrowLand4_TomorrowLand5,TomorrowLand4_TomorrowLand6,TomorrowLand4,0.1,S,1,1
TomorrowLand4_TomorrowLand6,RocketJet,TomorrowLand6,0.2,E,1,1
TomorrowLand4_TomorrowLand6,TomorrowLand4_TomorrowLand7,TomorrowLand4,0.3,S,1,1
TomorrowLand4_TomorrowLand7,Mountain,TomorrowLand7,0.1,E,1,1
TomorrowLand4_TomorrowLand7,Daisystreet_Daisystreet3,Daisystreet,0.2,W,1,1
Daisystreet_Daisystreet3,StarCode,Daisystreet3,0.3,S,1,1
Daisystreet_Daisystreet3,Waltstreet2_Daisystreet,Daisystreet,0.1,W,1,1
